,Mean returns,Standard Deviation,Sharpe Ratio,Sortino Ratio
HRP,0.01140535570119444,0.038646506322726995,0.5344448493673941,0.7143933200777512
1/N,0.012898258827333843,0.04909115604261684,0.8676823902849722,1.1996336616715635
