,Mean returns,Standard Deviation,Sharpe Ratio,Sortino Ratio
HRP,0.009992686987798658,0.039659587630194955,-0.0027100354965464216,-0.003546108614254873
1/N,0.011660063048455583,0.051087578097965276,0.4775690170829157,0.6640316751010025
