,Mean returns,Standard Deviation,Sharpe Ratio,Sortino Ratio
HRP,0.014083787462346278,0.055223801893011217,1.08683522225836,1.5249210205451498
1/N,0.016059235239522834,0.06262656295357794,1.4219558476478977,2.052995703705502
